N_PMUT,Frequency_Hz,Frequency_MHz,Amplitude_R_mean,Amplitude_R_std,Phase_deg_mean,Phase_deg_std,V,PMUTSweep,DetectionN,w_rad_s,phase_rad,X_val,Y_val
1,131082.4364950491,0.1310824364950491,0.6990706666666666,2.532455988422784e-05,0.016798433333333335,5.859465277098587e-07,-0.005778086666666667,1,0,823615.2390149937,0.0002931879708434328,0.6990706366208941,0.00020495910729981273
1,131505.4781156633,0.13150547811566332,0.6990820000000001,2.2912878474738516e-05,0.0167267,1.9078784028345627e-06,-0.005589886666666666,1,0,826273.2879099624,0.00029193598799333553,0.699081970209802,0.00020408719145941339
1,131929.8850165396,0.1319298850165396,0.6990876666666667,2.6407069760471952e-05,0.01665686666666667,1.0408329997336212e-06,-0.00587981,1,0,828939.9151138138,0.0002907171663990262,0.6990876371244557,0.000203236782655031
1,132355.6616039667,0.1323556616039667,0.6990936666666667,2.2678918257604197e-05,0.0165862,2.515949125083155e-06,-0.005828946666666667,1,0,831615.1483120769,0.00028948380039428345,0.6990936373743379,0.0002023762886316895
1,132782.8122969166,0.1327828122969166,0.6991019999999999,2.9461839725257148e-05,0.01651546666666667,2.5735837529299458e-06,-0.00575774,1,0,834299.0152699713,0.0002882492708367062,0.6991019709566316,0.0002015156389499064
1,133211.3415315206,0.1332113415315206,0.6991093333333334,2.379775899810436e-05,0.016444833333333336,1.985782801148244e-06,-0.005772993333333334,1,0,836991.543860532,0.0002870164866083809,0.6991093045375572,0.00020065590185350658
1,133641.2537565934,0.1336412537565934,0.6991233333333332,2.079262689829098e-05,0.016373000000000002,1.8357559750693264e-06,-0.005696703333333333,1,0,839692.7620364863,0.0002857627584290316,0.6991233047880039,0.00019978340949636863
1,134072.553434379,0.134072553434379,0.6991296666666668,1.3279056191406723e-05,0.016302733333333333,8.962886439833788e-07,-0.005808600000000001,1,0,842402.69783494,0.00028453637374129686,0.6991296383655666,0.00019892781744406418
1,134505.2450427886,0.1345052450427886,0.6991350000000001,8.660254037788948e-06,0.016233133333333333,2.9005746557085874e-06,-0.005701786666666667,1,0,845121.3793914391,0.0002833216245819088,0.6991349719398174,0.00019808006135205397
1,134939.3330754012,0.1349393330754012,0.6991446666666666,2.63881286440475e-05,0.016163666666666666,2.4583192089973805e-06,-0.005803516666666667,1,0,847848.8349399732,0.00028210920252819013,0.6991446388457422,0.00019723514174899102
1,135374.8220377327,0.13537482203773268,0.6991536666666667,2.375570107009581e-05,0.0160942,1.8520259177455013e-06,-0.005762823333333333,1,0,850585.0927895333,0.0002808967804744714,0.6991536390840055,0.0001963900114409615
1,135811.7164502204,0.13581171645022042,0.699159,3.559494346113499e-05,0.016023833333333334,1.3316656236965027e-06,-0.005762826666666666,1,0,853330.181342865,0.0002796686504574847,0.6991589726577955,0.00019553285143628538
1,136250.0208504613,0.13625002085046128,0.6991706666666667,1.2503332888992495e-05,0.01595503333333333,2.6274195198596014e-06,-0.005767913333333333,1,0,856084.1291105307,0.00027846786393211255,0.6991706395582991,0.00019469655955438802
1,136689.7397879896,0.1366897397879896,0.6991816666666667,9.609023536959991e-06,0.015884966666666667,1.9502136635072725e-06,-0.005859463333333333,1,0,858846.964678097,0.0002772449699028819,0.6991816397954468,0.00019384459764834329
1,137130.8778280067,0.1371308778280067,0.6991846666666666,9.712534856238691e-06,0.0158161,1.946792233394092e-06,-0.00576791,1,0,861618.7167295705,0.00027604301982467517,0.6991846400278188,0.00019300504435061956
